year,id,j2051b,j2054b
2006,1,360,90
2006,2,0,0
2008,3,0,0
2009,3,180,0
2007,5,180,60
2006,9,0,90
2008,28,40,0
2008,30,20,0
2009,30,30,0
2008,36,30,60
2009,36,120,120
2006,37,20,0
2007,37,30,0
2008,37,30,120
2009,37,30,60
2006,38,0,0
2007,38,290,0
2008,38,240,0
2006,39,30,0
2007,39,5,0
2008,39,20,0
2009,39,60,0
2006,41,0,0
2006,42,20,0
2009,47,20,90
2006,48,180,0
2008,48,20,0
2006,51,0,60
2008,51,40,60
2009,51,20,60
2006,57,0,120
2006,58,30,30
2006,59,60,0
2006,60,120,60
2007,60,120,60
2008,60,150,30
2009,60,120,60
2008,62,0,0
2006,63,20,30
2008,63,0,0
2006,64,30,180
2007,64,60,120
2009,64,20,120
2006,65,30,0
2007,65,60,0
2009,65,20,0
2006,68,30,20
2009,68,30,0
2006,70,0,0
2006,76,120,0
2007,76,120,0
2008,76,180,0
2009,76,60,0
2006,77,0,120
2007,77,0,0
2006,78,120,10
2007,78,120,90
2006,79,150,30
2007,79,80,0
2009,79,120,0
2006,92,0,60
2008,92,0,120
2006,93,0,0
2007,93,0,0
2008,93,0,0
2006,95,0,0
2008,95,0,0
2009,95,0,0
2006,96,40,60
2007,96,40,0
2008,96,80,0
2009,96,120,60
2006,98,0,0
2008,98,180,0
2008,99,40,0
2009,99,360,0
2006,102,40,120
2007,102,20,30
2008,102,40,60
2009,102,40,60
2006,103,0,0
2007,103,0,0
2009,103,0,0
2006,108,0,60
2008,108,40,60
2009,108,60,60
2006,109,0,0
2008,109,5,0
2006,110,0,60
2007,110,40,60
2008,110,40,0
2007,111,30,0
2008,111,40,30
2009,111,120,60
2006,113,120,60
2008,115,10,30
2009,117,30,60
2006,120,0,180
2008,121,0,0
2006,122,20,30
2008,123,30,0
2006,125,15,90
2007,125,15,120
2008,125,30,120
2009,125,20,120
2006,126,40,0
2007,126,60,0
2008,126,60,0
2009,126,60,0
2006,127,180,0
2007,127,15,0
2008,127,30,0
2009,127,1,0
2006,128,20,60
2007,128,20,60
2008,128,7,90
2009,128,60,60
2008,129,0,0
2009,129,5,0
2006,131,0,0
2007,131,0,0
2008,131,0,0
2009,131,0,0
2006,132,80,90
2007,132,80,60
2008,132,80,60
2009,132,90,60
2006,133,150,0
2007,133,150,0
2008,133,150,0
2009,133,120,0
2006,134,60,90
2007,134,120,60
2006,135,0,60
2007,135,20,60
2006,136,120,0
2007,136,180,60
2008,136,60,0
2009,136,45,0
2006,140,0,0
2007,140,0,0
2008,140,0,0
2009,140,0,0
2006,141,0,120
2007,141,20,120
2006,142,25,0
2009,142,180,0
2006,145,0,0
